




Analysis Type:	PANTHER Overrepresentation Test (Released 20171205)
Annotation Version and Release Date:	GO Ontology database  Released 2018-02-02
Analyzed List:	upload_1 (Mus musculus)
Reference List:	Mus musculus (all genes in database)
Test Type:	FISHER
GO biological process complete	Mus musculus - REFLIST (22262)	upload_1 (230)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)	upload_1 (FDR)
folic acid-containing compound catabolic process (GO:0009397)	2	2	.02	+	96.79	6.16E-04	4.21E-02
argininosuccinate metabolic process (GO:0000053)	2	2	.02	+	96.79	6.16E-04	4.19E-02
10-formyltetrahydrofolate catabolic process (GO:0009258)	2	2	.02	+	96.79	6.16E-04	4.17E-02
pteridine-containing compound catabolic process (GO:0042560)	2	2	.02	+	96.79	6.16E-04	4.16E-02
tyrosine catabolic process (GO:0006572)	5	3	.05	+	58.07	5.69E-05	6.39E-03
L-phenylalanine catabolic process (GO:0006559)	6	3	.06	+	48.40	8.47E-05	8.68E-03
L-phenylalanine metabolic process (GO:0006558)	8	4	.08	+	48.40	4.94E-06	8.54E-04
erythrose 4-phosphate/phosphoenolpyruvate family amino acid catabolic process (GO:1902222)	6	3	.06	+	48.40	8.47E-05	8.62E-03
erythrose 4-phosphate/phosphoenolpyruvate family amino acid metabolic process (GO:1902221)	8	4	.08	+	48.40	4.94E-06	8.45E-04
chaperone-mediated protein complex assembly (GO:0051131)	11	4	.11	+	35.20	1.33E-05	1.99E-03
protein refolding (GO:0042026)	9	3	.09	+	32.26	2.17E-04	1.84E-02
dicarboxylic acid catabolic process (GO:0043649)	12	4	.12	+	32.26	1.76E-05	2.42E-03
aldehyde catabolic process (GO:0046185)	13	4	.13	+	29.78	2.28E-05	2.90E-03
tyrosine metabolic process (GO:0006570)	11	3	.11	+	26.40	3.53E-04	2.83E-02
aspartate family amino acid catabolic process (GO:0009068)	11	3	.11	+	26.40	3.53E-04	2.82E-02
terpenoid biosynthetic process (GO:0016114)	12	3	.12	+	24.20	4.39E-04	3.30E-02
negative regulation of glycolytic process (GO:0045820)	12	3	.12	+	24.20	4.39E-04	3.29E-02
negative regulation of coenzyme metabolic process (GO:0051198)	13	3	.13	+	22.34	5.36E-04	3.88E-02
guanosine-containing compound biosynthetic process (GO:1901070)	13	3	.13	+	22.34	5.36E-04	3.87E-02
retinal metabolic process (GO:0042574)	13	3	.13	+	22.34	5.36E-04	3.85E-02
aromatic amino acid family catabolic process (GO:0009074)	13	3	.13	+	22.34	5.36E-04	3.83E-02
glyceraldehyde-3-phosphate metabolic process (GO:0019682)	13	3	.13	+	22.34	5.36E-04	3.81E-02
positive regulation of RNA polymerase II transcriptional preinitiation complex assembly (GO:0045899)	13	3	.13	+	22.34	5.36E-04	3.79E-02
tRNA aminoacylation for protein translation (GO:0006418)	44	10	.45	+	22.00	1.66E-10	9.11E-08
pteridine-containing compound biosynthetic process (GO:0042559)	14	3	.14	+	20.74	6.46E-04	4.30E-02
tRNA aminoacylation (GO:0043039)	47	10	.49	+	20.59	2.92E-10	1.45E-07
amino acid activation (GO:0043038)	48	10	.50	+	20.16	3.49E-10	1.63E-07
monosaccharide biosynthetic process (GO:0046364)	34	7	.35	+	19.93	1.78E-07	4.29E-05
arginine metabolic process (GO:0006525)	15	3	.15	+	19.36	7.69E-04	4.84E-02
glucose 6-phosphate metabolic process (GO:0051156)	15	3	.15	+	19.36	7.69E-04	4.82E-02
tetrahydrofolate metabolic process (GO:0046653)	20	4	.21	+	19.36	9.64E-05	9.62E-03
regulation of RNA polymerase II transcriptional preinitiation complex assembly (GO:0045898)	15	3	.15	+	19.36	7.69E-04	4.80E-02
folic acid-containing compound metabolic process (GO:0006760)	25	5	.26	+	19.36	1.24E-05	1.90E-03
gluconeogenesis (GO:0006094)	25	5	.26	+	19.36	1.24E-05	1.88E-03
pteridine-containing compound metabolic process (GO:0042558)	31	6	.32	+	18.73	1.91E-06	3.72E-04
monosaccharide catabolic process (GO:0046365)	21	4	.22	+	18.44	1.14E-04	1.10E-02
positive regulation of gene silencing by miRNA (GO:2000637)	22	4	.23	+	17.60	1.33E-04	1.23E-02
cellular aldehyde metabolic process (GO:0006081)	55	10	.57	+	17.60	1.13E-09	4.81E-07
hexose biosynthetic process (GO:0019319)	28	5	.29	+	17.28	2.01E-05	2.64E-03
positive regulation of posttranscriptional gene silencing (GO:0060148)	23	4	.24	+	16.83	1.55E-04	1.41E-02
positive regulation of erythrocyte differentiation (GO:0045648)	25	4	.26	+	15.49	2.07E-04	1.79E-02
aromatic amino acid family metabolic process (GO:0009072)	25	4	.26	+	15.49	2.07E-04	1.78E-02
glycolytic process (GO:0006096)	35	5	.36	+	13.83	5.26E-05	5.99E-03
dicarboxylic acid metabolic process (GO:0043648)	84	12	.87	+	13.83	2.88E-10	1.47E-07
ATP generation from ADP (GO:0006757)	36	5	.37	+	13.44	5.94E-05	6.62E-03
NAD metabolic process (GO:0019674)	36	5	.37	+	13.44	5.94E-05	6.57E-03
endocytic recycling (GO:0032456)	29	4	.30	+	13.35	3.45E-04	2.78E-02
tricarboxylic acid metabolic process (GO:0072350)	37	5	.38	+	13.08	6.69E-05	7.24E-03
regulation of posttranscriptional gene silencing (GO:0060147)	38	5	.39	+	12.74	7.51E-05	7.90E-03
regulation of gene silencing by RNA (GO:0060966)	38	5	.39	+	12.74	7.51E-05	7.85E-03
cellular carbohydrate biosynthetic process (GO:0034637)	39	5	.40	+	12.41	8.40E-05	8.67E-03
glutamine family amino acid metabolic process (GO:0009064)	55	7	.57	+	12.32	3.25E-06	5.82E-04
positive regulation of viral genome replication (GO:0045070)	32	4	.33	+	12.10	4.85E-04	3.59E-02
cofactor catabolic process (GO:0051187)	41	5	.42	+	11.80	1.04E-04	1.02E-02
carbohydrate biosynthetic process (GO:0016051)	91	11	.94	+	11.70	7.92E-09	2.71E-06
aspartate family amino acid metabolic process (GO:0009066)	42	5	.43	+	11.52	1.16E-04	1.11E-02
cellular response to epidermal growth factor stimulus (GO:0071364)	34	4	.35	+	11.39	5.99E-04	4.13E-02
nucleoside diphosphate phosphorylation (GO:0006165)	51	6	.53	+	11.39	2.51E-05	3.17E-03
ADP metabolic process (GO:0046031)	43	5	.44	+	11.25	1.28E-04	1.20E-02
nicotinamide nucleotide metabolic process (GO:0046496)	96	11	.99	+	11.09	1.32E-08	4.22E-06
positive regulation of telomerase activity (GO:0051973)	35	4	.36	+	11.06	6.62E-04	4.38E-02
regulation of gene silencing by miRNA (GO:0060964)	35	4	.36	+	11.06	6.62E-04	4.37E-02
