




Analysis Type:	PANTHER Overrepresentation Test (Released 20171205)
Annotation Version and Release Date:	GO Ontology database  Released 2018-02-02
Analyzed List:	upload_1 (Mus musculus)
Reference List:	Mus musculus (all genes in database)
Test Type:	FISHER
GO biological process complete	Mus musculus - REFLIST (22262)	upload_1 (312)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)	upload_1 (FDR)
alditol catabolic process (GO:0019405)	2	2	.03	+	71.35	1.12E-03	4.34E-02
glyceraldehyde-3-phosphate biosynthetic process (GO:0046166)	2	2	.03	+	71.35	1.12E-03	4.33E-02
cysteine biosynthetic process via cystathionine (GO:0019343)	2	2	.03	+	71.35	1.12E-03	4.32E-02
fatty acid beta-oxidation using acyl-CoA oxidase (GO:0033540)	3	3	.04	+	71.35	5.07E-05	3.33E-03
formation of cytoplasmic translation initiation complex (GO:0001732)	2	2	.03	+	71.35	1.12E-03	4.31E-02
argininosuccinate metabolic process (GO:0000053)	2	2	.03	+	71.35	1.12E-03	4.30E-02
nitrogen utilization (GO:0019740)	2	2	.03	+	71.35	1.12E-03	4.29E-02
ammonia assimilation cycle (GO:0019676)	2	2	.03	+	71.35	1.12E-03	4.28E-02
formaldehyde catabolic process (GO:0046294)	2	2	.03	+	71.35	1.12E-03	4.27E-02
transsulfuration (GO:0019346)	4	3	.06	+	53.51	8.78E-05	5.34E-03
'de novo' IMP biosynthetic process (GO:0006189)	4	3	.06	+	53.51	8.78E-05	5.32E-03
homoserine metabolic process (GO:0009092)	4	3	.06	+	53.51	8.78E-05	5.29E-03
fructose 1,6-bisphosphate metabolic process (GO:0030388)	9	6	.13	+	47.57	2.99E-08	3.49E-06
tyrosine catabolic process (GO:0006572)	5	3	.07	+	42.81	1.39E-04	7.83E-03
fatty acid alpha-oxidation (GO:0001561)	5	3	.07	+	42.81	1.39E-04	7.80E-03
positive regulation of interferon-beta secretion (GO:0035549)	5	3	.07	+	42.81	1.39E-04	7.78E-03
regulation of interferon-beta secretion (GO:0035547)	5	3	.07	+	42.81	1.39E-04	7.75E-03
xanthine catabolic process (GO:0009115)	5	3	.07	+	42.81	1.39E-04	7.72E-03
pentose-phosphate shunt, non-oxidative branch (GO:0009052)	5	3	.07	+	42.81	1.39E-04	7.69E-03
purine nucleobase catabolic process (GO:0006145)	7	4	.10	+	40.77	1.09E-05	8.67E-04
nucleobase catabolic process (GO:0046113)	9	5	.13	+	39.64	8.83E-07	8.43E-05
xanthine metabolic process (GO:0046110)	6	3	.08	+	35.68	2.07E-04	1.10E-02
L-phenylalanine catabolic process (GO:0006559)	6	3	.08	+	35.68	2.07E-04	1.09E-02
arginine biosynthetic process (GO:0006526)	6	3	.08	+	35.68	2.07E-04	1.09E-02
erythrose 4-phosphate/phosphoenolpyruvate family amino acid catabolic process (GO:1902222)	6	3	.08	+	35.68	2.07E-04	1.09E-02
pentose-phosphate shunt (GO:0006098)	10	5	.14	+	35.68	1.31E-06	1.23E-04
positive regulation of protein localization to Cajal body (GO:1904871)	8	4	.11	+	35.68	1.62E-05	1.24E-03
regulation of protein localization to Cajal body (GO:1904869)	8	4	.11	+	35.68	1.62E-05	1.23E-03
tetrahydrofolate biosynthetic process (GO:0046654)	6	3	.08	+	35.68	2.07E-04	1.08E-02
glucose 6-phosphate metabolic process (GO:0051156)	15	7	.21	+	33.30	1.29E-08	1.57E-06
glyceraldehyde-3-phosphate metabolic process (GO:0019682)	13	6	.18	+	32.93	1.55E-07	1.61E-05
glycolytic process through fructose-6-phosphate (GO:0061615)	11	5	.15	+	32.43	1.88E-06	1.72E-04
positive regulation of establishment of protein localization to telomere (GO:1904851)	9	4	.13	+	31.71	2.32E-05	1.70E-03
protein refolding (GO:0042026)	9	4	.13	+	31.71	2.32E-05	1.69E-03
glutamine family amino acid biosynthetic process (GO:0009084)	16	7	.22	+	31.22	1.83E-08	2.18E-06
regulation of NADP metabolic process (GO:1902031)	7	3	.10	+	30.58	2.92E-04	1.46E-02
cellular response to leucine (GO:0071233)	7	3	.10	+	30.58	2.92E-04	1.46E-02
IMP biosynthetic process (GO:0006188)	7	3	.10	+	30.58	2.92E-04	1.45E-02
response to leucine (GO:0043201)	7	3	.10	+	30.58	2.92E-04	1.45E-02
fructose 6-phosphate metabolic process (GO:0006002)	10	4	.14	+	28.54	3.21E-05	2.24E-03
fructose metabolic process (GO:0006000)	10	4	.14	+	28.54	3.21E-05	2.23E-03
regulation of establishment of protein localization to telomere (GO:0070203)	10	4	.14	+	28.54	3.21E-05	2.22E-03
urea cycle (GO:0000050)	10	4	.14	+	28.54	3.21E-05	2.21E-03
urea metabolic process (GO:0019627)	10	4	.14	+	28.54	3.21E-05	2.20E-03
gluconeogenesis (GO:0006094)	25	10	.35	+	28.54	2.98E-11	5.65E-09
hexose biosynthetic process (GO:0019319)	28	11	.39	+	28.03	3.50E-12	8.04E-10
homocysteine metabolic process (GO:0050667)	13	5	.18	+	27.44	3.61E-06	3.19E-04
monosaccharide biosynthetic process (GO:0046364)	34	13	.48	+	27.28	4.83E-14	1.40E-11
L-phenylalanine metabolic process (GO:0006558)	8	3	.11	+	26.76	3.97E-04	1.88E-02
erythrose 4-phosphate/phosphoenolpyruvate family amino acid metabolic process (GO:1902221)	8	3	.11	+	26.76	3.97E-04	1.87E-02
glycolytic process (GO:0006096)	35	13	.49	+	26.50	6.54E-14	1.86E-11
regulation of establishment of protein localization to chromosome (GO:0070202)	11	4	.15	+	25.95	4.33E-05	2.91E-03
positive regulation of tumor necrosis factor secretion (GO:1904469)	11	4	.15	+	25.95	4.33E-05	2.90E-03
ATP generation from ADP (GO:0006757)	36	13	.50	+	25.77	8.80E-14	2.37E-11
amino-acid betaine metabolic process (GO:0006577)	14	5	.20	+	25.48	4.84E-06	4.16E-04
oxaloacetate metabolic process (GO:0006107)	14	5	.20	+	25.48	4.84E-06	4.14E-04
2-oxoglutarate metabolic process (GO:0006103)	17	6	.24	+	25.18	5.50E-07	5.39E-05
positive regulation of interferon-alpha secretion (GO:1902741)	9	3	.13	+	23.78	5.24E-04	2.36E-02
regulation of interferon-alpha secretion (GO:1902739)	9	3	.13	+	23.78	5.24E-04	2.36E-02
nitrogen cycle metabolic process (GO:0071941)	12	4	.17	+	23.78	5.71E-05	3.71E-03
dicarboxylic acid biosynthetic process (GO:0043650)	12	4	.17	+	23.78	5.71E-05	3.69E-03
positive regulation of protein localization to chromosome, telomeric region (GO:1904816)	12	4	.17	+	23.78	5.71E-05	3.67E-03
carnitine metabolic process (GO:0009437)	12	4	.17	+	23.78	5.71E-05	3.66E-03
NAD biosynthetic process (GO:0009435)	9	3	.13	+	23.78	5.24E-04	2.35E-02
folic acid-containing compound biosynthetic process (GO:0009396)	9	3	.13	+	23.78	5.24E-04	2.34E-02
sulfur amino acid biosynthetic process (GO:0000097)	15	5	.21	+	23.78	6.39E-06	5.31E-04
glutamine metabolic process (GO:0006541)	21	7	.29	+	23.78	8.31E-08	8.94E-06
ADP metabolic process (GO:0046031)	43	14	.60	+	23.23	3.13E-14	9.25E-12
purine nucleobase metabolic process (GO:0006144)	22	7	.31	+	22.70	1.08E-07	1.16E-05
NADP metabolic process (GO:0006739)	29	9	.41	+	22.14	1.88E-09	2.56E-07
aldehyde catabolic process (GO:0046185)	13	4	.18	+	21.95	7.39E-05	4.60E-03
aromatic amino acid family catabolic process (GO:0009074)	13	4	.18	+	21.95	7.39E-05	4.58E-03
pyruvate metabolic process (GO:0006090)	59	18	.83	+	21.77	1.62E-17	6.75E-15
aldehyde biosynthetic process (GO:0046184)	10	3	.14	+	21.41	6.75E-04	2.91E-02
ornithine metabolic process (GO:0006591)	10	3	.14	+	21.41	6.75E-04	2.91E-02
positive regulation of vesicle fusion (GO:0031340)	10	3	.14	+	21.41	6.75E-04	2.90E-02
purine ribonucleoside diphosphate metabolic process (GO:0009179)	48	14	.67	+	20.81	1.11E-13	2.95E-11
purine nucleoside diphosphate metabolic process (GO:0009135)	48	14	.67	+	20.81	1.11E-13	2.90E-11
nucleobase biosynthetic process (GO:0046112)	14	4	.20	+	20.39	9.40E-05	5.62E-03
cysteine metabolic process (GO:0006534)	14	4	.20	+	20.39	9.40E-05	5.60E-03
regulation of protein localization to chromosome, telomeric region (GO:1904814)	14	4	.20	+	20.39	9.40E-05	5.58E-03
