




Analysis Type:	PANTHER Overrepresentation Test (Released 20171205)
Annotation Version and Release Date:	GO Ontology database  Released 2018-02-02
Analyzed List:	upload_1 (Mus musculus)
Reference List:	Mus musculus (all genes in database)
Test Type:	FISHER
GO biological process complete	Mus musculus - REFLIST (22262)	upload_1 (521)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)	upload_1 (FDR)
L-ascorbic acid biosynthetic process (GO:0019853)	4	4	.09	+	42.73	1.76E-05	1.14E-03
histidine catabolic process (GO:0006548)	5	4	.12	+	34.18	3.11E-05	1.86E-03
transsulfuration (GO:0019346)	4	3	.09	+	32.05	3.89E-04	1.54E-02
toxin biosynthetic process (GO:0009403)	4	3	.09	+	32.05	3.89E-04	1.53E-02
homoserine metabolic process (GO:0009092)	4	3	.09	+	32.05	3.89E-04	1.53E-02
histidine metabolic process (GO:0006547)	7	5	.16	+	30.52	4.25E-06	3.50E-04
imidazole-containing compound catabolic process (GO:0052805)	6	4	.14	+	28.49	5.09E-05	2.83E-03
L-phenylalanine catabolic process (GO:0006559)	6	4	.14	+	28.49	5.09E-05	2.82E-03
erythrose 4-phosphate/phosphoenolpyruvate family amino acid catabolic process (GO:1902222)	6	4	.14	+	28.49	5.09E-05	2.81E-03
canalicular bile acid transport (GO:0015722)	6	4	.14	+	28.49	5.09E-05	2.80E-03
tyrosine catabolic process (GO:0006572)	5	3	.12	+	25.64	6.11E-04	2.23E-02
positive regulation of cholesterol homeostasis (GO:2000189)	5	3	.12	+	25.64	6.11E-04	2.22E-02
L-ascorbic acid metabolic process (GO:0019852)	7	4	.16	+	24.42	7.85E-05	4.00E-03
L-phenylalanine metabolic process (GO:0006558)	8	4	.19	+	21.36	1.16E-04	5.52E-03
erythrose 4-phosphate/phosphoenolpyruvate family amino acid metabolic process (GO:1902221)	8	4	.19	+	21.36	1.16E-04	5.50E-03
water-soluble vitamin biosynthetic process (GO:0042364)	8	4	.19	+	21.36	1.16E-04	5.49E-03
tetrahydrofolate biosynthetic process (GO:0046654)	6	3	.14	+	21.36	9.01E-04	2.98E-02
imidazole-containing compound metabolic process (GO:0052803)	10	5	.23	+	21.36	1.52E-05	1.01E-03
aromatic amino acid family catabolic process (GO:0009074)	13	6	.30	+	19.72	2.93E-06	2.60E-04
glyceraldehyde-3-phosphate metabolic process (GO:0019682)	13	6	.30	+	19.72	2.93E-06	2.59E-04
bile acid biosynthetic process (GO:0006699)	11	5	.26	+	19.42	2.17E-05	1.38E-03
nucleobase catabolic process (GO:0046113)	9	4	.21	+	18.99	1.64E-04	7.50E-03
tetrahydrofolate interconversion (GO:0035999)	9	4	.21	+	18.99	1.64E-04	7.48E-03
regulation of low-density lipoprotein particle receptor biosynthetic process (GO:0045714)	7	3	.16	+	18.31	1.27E-03	3.94E-02
positive regulation of cholesterol biosynthetic process (GO:0045542)	7	3	.16	+	18.31	1.27E-03	3.93E-02
